09:37:22:593  INFO 3420 --- [main] com.loser.trade.TradeApplication         : Starting TradeApplication using Java 17.0.9 on LAPTOP-60HRQ1D9 with PID 3420 (D:\SpringCloud project\heima-mall\back-end\src\hmall\trade-service\target\classes started by loser in D:\SpringCloud project\heima-mall\back-end\src\hmall)
09:37:22:598  INFO 3420 --- [main] com.loser.trade.TradeApplication         : The following 1 profile is active: "local"
09:37:23:275  INFO 3420 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=80f64626-173b-3209-bdbe-cbd94c5cebfd
09:37:23:529  INFO 3420 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8086 (http)
09:37:23:536  INFO 3420 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
09:37:23:536  INFO 3420 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.75]
09:37:23:655  INFO 3420 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
09:37:23:655  INFO 3420 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1025 ms
09:37:24:133  INFO 3420 --- [main] o.s.c.openfeign.FeignClientFactoryBean   : For 'item-service' URL not provided. Will try picking an instance via load-balancing.
09:37:24:275  INFO 3420 --- [main] o.s.c.openfeign.FeignClientFactoryBean   : For 'cart-service' URL not provided. Will try picking an instance via load-balancing.
09:37:25:687  INFO 3420 --- [main] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
09:37:25:705  INFO 3420 --- [main] pertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
09:37:26:912  INFO 3420 --- [main] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
09:37:27:022  INFO 3420 --- [main] com.alibaba.nacos.common.remote.client   : [RpcClientFactory] create a new rpc client of 935776cb-d9bd-461f-ba57-faa87e288690
09:37:27:058  INFO 3420 --- [main] org.reflections.Reflections              : Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
09:37:27:072  INFO 3420 --- [main] org.reflections.Reflections              : Reflections took 6 ms to scan 1 urls, producing 4 keys and 9 values 
09:37:27:079  INFO 3420 --- [main] org.reflections.Reflections              : Reflections took 6 ms to scan 1 urls, producing 3 keys and 10 values 
